Company Name,CIK,Filing Year,10-K URL,Assets,Revenues,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,Debt,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,GrossProfit,AssetsCurrent,AssetsNoncurrent,Fraud Label,Current Ratio,Debt Ratio,Profit Margin,Return on Assets,Operating Margin,Equity Ratio,Cash Ratio,log_Profit Margin,log_Cash Ratio,log_Operating Margin,log_Return on Assets,log_Equity Ratio,log_Debt Ratio,Clipped Current Ratio
"International Investment Group, LLC",1759760,2021,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
3M,66740,2023,https://www.sec.gov/Archives/edgar/data/66740/000006674023000014/mmm-20221231.htm,0.0,34229.0,14.0,27690.0,6539.0,0.0,692.0,14722.0,0.0,0.0,456.0,4271.0,0,0.6589595375722543,0.8947368421052632,0.0004090099038826,3.5925394548063125,0.1910368401063426,23.16045044594509,1.275229357798165,0.000408926282132502,0.8220808639358385,0.17482422197398909,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.6589595375722543
Archer Daniels Midland,7084,2019,https://www.sec.gov/Archives/edgar/data/7084/000000708419000012/adm-20181231x10k.htm,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
ON Semiconductor,1097864,2019,https://www.sec.gov/Archives/edgar/data/1097864/000119312519045025/d664850d10k.htm,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
Lockheed Martin,936468,2022,https://www.sec.gov/Archives/edgar/data/936468/000093646822000008/lmt-20211231.htm,0.0,56435.0,6315.0,0.0,9123.0,6.0,3108.0,10959.0,3604.0,9061.0,688.0,7652.0,0,0.2213642213642213,0.8947368421052632,0.1118986444582262,3.5925394548063125,0.1616550013289625,23.16045044594509,1.1595881595881596,0.10606904460430355,0.7699175366595041,0.14984571359636406,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.2213642213642213
Mastercard,1141391,2020,https://www.sec.gov/Archives/edgar/data/1141391/000114139120000032/ma12312019-10xk.htm,1370.0,16883.0,1.0,7219.0,9664.0,0.0,5489.0,5893.0,6988.0,0.0,1370.0,4525.0,0,0.2495900892694479,0.8947368421052632,5.923117929277972e-05,0.0007299270072992,0.5724101166854232,4.301459854014599,1.2730916378210968,5.9229425195743996e-05,0.8211408598611322,0.45260954845826623,0.0007296607401437212,1.6679822267839977,0.6390799592896695,0.2495900892694479
"Super Micro Computer, Inc.",1375365,2020,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000064/smci-2020630x10k.htm,10689000.0,0.0,84308.0,440556.0,85654.0,0.0,10536000.0,1065540.0,210533.0,526210.0,126985.0,34499.0,1,0.0120524867122247,0.0,0.1073492330321496,0.0078873608382449,0.2233420892746644,0.0996856581532416,0.0199822513287775,0.10196908096790831,0.019785226486725233,0.20158653081798458,0.007856418205062967,0.09502437365040188,0.0,0.0120524867122247
Centene Corporation,1071739,2022,https://www.sec.gov/Archives/edgar/data/1071739/000107173922000071/cnc-20211231.htm,1602.0,125982.0,11.0,124198.0,1784.0,267.0,8493.0,26795.0,13118.0,0.0,1602.0,1068.0,0,0.1886259272341928,0.1666666666666666,8.731406073883571e-05,0.0068664169787765,0.014160753123462,16.72596754057428,1.5445661132697517,8.731024908810655e-05,0.9339601495230176,0.014061426256189329,0.006842950496904302,2.8750306571385327,0.15415067982725825,0.1886259272341928
Monolithic Power Systems,1280452,2023,https://www.sec.gov/Archives/edgar/data/1280452/000143774923004540/mpwr20221231_10k.htm,42742.0,0.0,437672.0,521767.0,526785.0,0.0,88260.0,1668602.0,288607.0,1048552.0,42742.0,249286.0,0,0.484273736687061,0.0,0.1073492330321496,10.23985775115811,0.2233420892746644,39.03893126199055,3.2699637434851576,0.10196908096790831,1.451605336217402,0.20158653081798458,2.419466188794547,3.6898522623323107,0.0,0.484273736687061
Lilly (Eli),59478,2021,https://www.sec.gov/Archives/edgar/data/59478/000005947821000083/lly-20201231.htm,17462.1,24539.8,6193.7,17309.9,0.0,8.7,997.2,5641.6,3657.1,0.0,17462.1,158.9,0,17.51113116726835,0.0004982218633497,0.2523940700413206,0.3546938798884441,0.2233420892746644,0.3230768349740295,3.667368632170076,0.22505697558292237,1.5405954508143198,0.20158653081798458,0.3035755099066277,0.2799599597684721,0.0004980977920454539,17.51113116726835
